"laplaphi","dphidz","dphidy","dphidx","dcdz","dcdy","rho","vx","vy","vz","phi","forceNSX","pressure","composition","forceNSY","potential","forceNSZ","t","dcdx","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.6608e-24,0,0,1.5864e-22,0,0,1,-3.41e-19,2.6466e-05,0,1.5874e-24,-2.1782e-17,2.1726e-19,0.3,0.0006655,-7.6661e-14,0,0,30,,0,-1.28,0.32,0
-2.6608e-24,0,0,1.5864e-22,0,0,1,-3.41e-19,2.6466e-05,0,1.5874e-24,-2.1782e-17,2.1726e-19,0.3,0.0006655,-7.6661e-14,0,0,30,,0.005,-1.275,0.32,0
-2.6347e-24,0,0,-3.9021e-26,0,0,1,2.8037e-19,4.9424e-05,0,1.5871e-24,0,1.0616e-19,0.3,5.1371e-06,-7.6661e-14,0,0,-2.7756e-15,,0.015,-1.265,0.32,0
-2.6087e-24,0,0,-6.5238e-26,0,0,1,-3.8625e-19,6.8773e-05,0,1.5866e-24,0,1.0193e-19,0.3,5.1371e-06,-7.6716e-14,0,0,2.7756e-15,,0.025,-1.255,0.32,0
-2.6074e-24,0,0,-9.1318e-26,0,0,1,2.4818e-19,8.7813e-05,0,1.5858e-24,0,9.5715e-20,0.3,5.1371e-06,-7.6605e-14,0,0,2.7756e-15,,0.035,-1.245,0.32,0
-2.6057e-24,0,0,-1.1738e-25,0,0,1,-4.1843e-19,0.00010655,0,1.5847e-24,0,8.9221e-20,0.3,5.1371e-06,-7.6661e-14,0,0,-2.7756e-15,,0.045,-1.235,0.32,0
-2.6035e-24,0,0,-1.4343e-25,0,0,1,2.287e-19,0.00012497,0,1.5834e-24,0,8.5268e-20,0.3,5.1371e-06,-7.6661e-14,0,0,2.7756e-15,,0.055,-1.225,0.32,0
-2.6009e-24,0,0,-1.6945e-25,0,0,1,-4.269e-19,0.00014308,0,1.5819e-24,0,7.7927e-20,0.3,5.1371e-06,-7.6605e-14,0,0,0,,0.065,-1.215,0.32,0
-2.598e-24,0,0,-1.9545e-25,0,0,1,2.2192e-19,0.00016089,0,1.58e-24,0,7.8492e-20,0.3,5.1371e-06,-7.6661e-14,0,0,0,,0.075,-1.205,0.32,0
-2.5945e-24,0,0,-2.2141e-25,0,0,1,-4.4384e-19,0.00017839,0,1.578e-24,0,7.4539e-20,0.3,5.1371e-06,-7.6605e-14,0,0,0,,0.085,-1.195,0.32,0
-2.5907e-24,0,0,-2.4733e-25,0,0,1,1.999e-19,0.00019558,0,1.5756e-24,0,7.5668e-20,0.3,5.1371e-06,-7.6661e-14,0,0,5.5511e-15,,0.095,-1.185,0.32,0
-2.5864e-24,0,0,-2.7322e-25,0,0,1,-4.845e-19,0.00021247,0,1.573e-24,0,6.6633e-20,0.3,5.1371e-06,-7.6494e-14,0,0,2.7756e-15,,0.105,-1.175,0.32,0
